Batch ID,Leather type,OperatorID,scanned area,time,date,,,,,,
7653C,CRO.S20P.MACA81,vitogiorgio,41.03,1896,30/09/2020,,,,,,
7604S.I.,PEL.F20P.MACA86,giuseppe,55.2,4615,01/10/2020,,,,,,
7604S.I.,PEL.F20P.MACA86,giuseppe,54.95,3747,01/10/2020,,,,,,
7604C,CRO.S20P.MACA86,giuseppe,42.8,1909,01/10/2020,,,,,,
7604C,CRO.S20P.MACA86,giuseppe,36.25,1820,01/10/2020,,,,,,
7654S.I.,PEL.F20P.MACA11,giuseppe,75.35,4905,01/10/2020,,,,,,
7654S.I.,PEL.F20P.MACA11,giuseppe,75.3,4246,01/10/2020,,,,,,
7654S.I.,PEL.F20P.MACA11,giuseppe,75.55,5223,01/10/2020,,,,,,
7654C,CRO.S20P.MACA11,giuseppe,45.2,1745,01/10/2020,,,,,,
7654C,CRO.S20P.MACA11,giuseppe,25.5,1005,01/10/2020,,,,,,
7654C,CRO.S20P.MACA11,giuseppe,44.65,1240,01/10/2020,,,,,,
7654S.I.,PEL.F20P.MACA11,giuseppe,0.12,0,01/10/2020,,,,,,
7655,PEL.F10.GEN00/11,giuseppe,1.141,182,01/10/2020,,,,,,
7580,PEL.F20P.MACA01,giuseppe,0.685,0,01/10/2020,,,,,,
7387,PEL.L20.2804,giuseppe,0.692,789,01/10/2020,,,,,,
7545S.I.,PEL.F20P.MACA013,giuseppe,2.95,0,01/10/2020,,,,,,
7679S.I.,PEL.F20P.MACA34,giuseppe,39.85,2575,01/10/2020,,,,,,
7679C,CRO.S20P.MACA34,giuseppe,34.4,810,01/10/2020,,,,,,
7656S.I.,PEL.F20P.MACA013,giuseppe,55.45,7861,01/10/2020,,,,,,
7656C,CRO.S20P.MACA013,giuseppe,41.05,1189,01/10/2020,,,,,,
7673S.I.,PEL.F20P.MACA850,giuseppe,87.796,4924,02/10/2020,,,,,,
7673C,CRO.S20P.MACA850,giuseppe,51.33,1995,01/10/2020,,,,,,
7653S.I.,PEL.F20P.MACA81,giuseppe,57.5,5405,01/10/2020,,,,,,
7653C,CRO.S20P.MACA81,giuseppe,37.43,2017,01/10/2020,,,,,,
7652,PEL.F30.CER880,giuseppe,55.95,5880,01/10/2020,,,,,,
7652C,CRO.S30.CER880,giuseppe,22.95,863,01/10/2020,,,,,,
7652,PEL.F30.CER880,giuseppe,73.75,6108,01/10/2020,,,,,,
7652C,CRO.S30.CER880,giuseppe,37,2112,01/10/2020,,,,,,
