,Unnamed: 0,Batch ID,Leather type,OperatorID,scanned area,time,date,Year,week_no,month
119,119,7652,PEL.F30.CER880,giuseppe,55.95,5880,2020-10-01,2020,40,10
120,120,7652C,CRO.S30.CER880,giuseppe,22.95,863,2020-10-01,2020,40,10
121,121,7652,PEL.F30.CER880,giuseppe,73.75,6108,2020-10-01,2020,40,10
122,122,7652C,CRO.S30.CER880,giuseppe,37.0,2112,2020-10-01,2020,40,10
123,123,7602S.I.,PEL.F20P.MACA013,giuseppe,87.75,5565,2020-10-01,2020,40,10
124,124,7602S.I.,PEL.F20P.MACA013,giuseppe,87.89,6585,2020-10-01,2020,40,10
125,125,7698S.I.,PEL.F20P.MACA000,x.pol.t08,2.557,294,2020-10-01,2020,40,10
126,126,7701,PEL.F30.CER000,nicolagaletta,2.8819999999999997,302,2020-10-01,2020,40,10
127,127,7643S.I.,PEL.F20P.MACA880,giuseppe,30.05,5644,2020-10-01,2020,40,10
128,128,7667S.I.,PEL.F20P.MACA745,giuseppe,67.15,5482,2020-10-01,2020,40,10
129,129,7667C,CRO.S20P.MACA745,giuseppe,30.35,1036,2020-10-01,2020,40,10
130,130,7667S.I.,PEL.F20P.MACA745,giuseppe,86.38,8778,2020-10-01,2020,40,10
131,131,7667C,CRO.S20P.MACA745,giuseppe,41.3,1132,2020-10-01,2020,40,10
132,132,7573,PEL.F30.CER000,giuseppe,0.35600000000000004,0,2020-10-01,2020,40,10
133,133,7681S.I.,PEL.F20P.MACA80,giuseppe,101.25,7436,2020-10-01,2020,40,10
134,134,7681C,CRO.S20P.MACA80,giuseppe,49.83,2968,2020-10-01,2020,40,10
135,135,7619S.I.,PEL.F20P.MACA000,giuseppe,21.47,1824,2020-10-02,2020,40,10
136,136,7619C,CRO.S20P.MACA000,giuseppe,10.9,212,2020-10-01,2020,40,10
137,137,7582,PEL.F20P.MACA740,giuseppe,0.607,0,2020-10-02,2020,40,10
138,138,7582C,CRO.S20P.MACA740,giuseppe,0.429,0,2020-10-02,2020,40,10
139,139,7688S.I.,PEL.F20P.MACA880,giuseppe,0.439,0,2020-10-02,2020,40,10
140,140,7638S.I.,PEL.F20P.MACA86,x.pol.t23,87.16,5950,2020-10-02,2020,40,10
141,141,7585,PEL.F20P.MACA83,x.pol.t23,17.55,1290,2020-10-02,2020,40,10
142,142,7585C,CRO.S20P.MACA83,x.pol.t23,9.3,397,2020-10-02,2020,40,10
143,143,7673C,CRO.S20P.MACA850,giuseppe,0.27399999999999997,0,2020-10-02,2020,40,10
144,144,2049C,CRO.S20P.MACA540,giuseppe,0.74,0,2020-10-02,2020,40,10
145,145,7655,PEL.F10.GEN00/11,giuseppe,38.4,2101,2020-10-02,2020,40,10
146,146,7654S.I.,PEL.F20P.MACA11,giuseppe,31.8,1825,2020-10-02,2020,40,10
147,147,7654C,CRO.S20P.MACA11,giuseppe,23.85,787,2020-10-02,2020,40,10
148,148,7643S.I.,PEL.F20P.MACA880,x.pol.t23,5.393,1569,2020-10-02,2020,40,10
149,149,7635,PEL.F20P.MACA745,giuseppe,1.321,0,2020-10-02,2020,40,10
150,150,7673S.I.,PEL.F20P.MACA850,giuseppe,94.45,6367,2020-10-02,2020,40,10
151,151,7673C,CRO.S20P.MACA850,giuseppe,53.55,2087,2020-10-02,2020,40,10
152,152,7688S.I.,PEL.F20P.MACA880,giuseppe,75.75,4638,2020-10-02,2020,40,10
153,153,7688S.I.,PEL.F20P.MACA880,giuseppe,76.02,5382,2020-10-02,2020,40,10
154,154,7688C,CRO.S20P.MACA880,giuseppe,36.0,1667,2020-10-02,2020,40,10
155,155,7688C,CRO.S20P.MACA880,giuseppe,24.98,1384,2020-10-02,2020,40,10
156,156,7692,PEL.F30.CER009,giuseppe,12.488,1180,2020-10-02,2020,40,10
157,157,7595C,CRO.S30.CER009,giuseppe,0.573,0,2020-10-02,2020,40,10
158,158,7625S.I.,PEL.F20P.MACA007,giuseppe,0.011000000000000001,0,2020-10-02,2020,40,10
159,159,7623C,CRO.S20P.MACA83,giuseppe,0.22,0,2020-10-02,2020,40,10
160,160,7652C,CRO.S30.CER880,giuseppe,0.024,0,2020-10-02,2020,40,10
161,161,7698S.I.,PEL.F20P.MACA000,x.pol.t08,81.1,7727,2020-10-02,2020,40,10
162,162,7698C,CRO.S20P.MACA000,nicolagaletta,40.58,1372,2020-10-02,2020,40,10
163,163,7539,PEL.F20P.MACA540,giuseppe,0.214,0,2020-10-02,2020,40,10
164,164,7603,PEL.F10.GEN00/11,giuseppe,3.904,254,2020-10-02,2020,40,10
165,165,7633,PEL.F10.GEN00/11,giuseppe,3.8310000000000004,359,2020-10-02,2020,40,10
166,166,7497,PEL.F10.GEN00/11,giuseppe,2.39,388,2020-10-02,2020,40,10
167,167,7677,PEL.F10P.GEN00/80,giuseppe,0.203,0,2020-10-02,2020,40,10
168,168,7688S.I.,PEL.F20P.MACA880,giuseppe,0.721,0,2020-10-02,2020,40,10
169,169,7678S.I.,PEL.F20P.MACA11,x.pol.t21,4.2,382,2020-10-02,2020,40,10
170,170,7678C,CRO.S20P.MACA11,x.pol.t21,4.0,171,2020-10-02,2020,40,10
171,171,7639S.I.,PEL.F20P.MACA83,x.pol.t22,94.552,8424,2020-10-05,2020,41,10
172,172,7702,PEL.F10.GEN00/11,x.pol.t22,89.6,7521,2020-10-02,2020,40,10
173,173,7531,PEL.L15.1804,x.pol.t23,72.3,6379,2020-10-03,2020,40,10
174,174,7686,PEL.L20.2540,giuseppe,68.88,7121,2020-10-02,2020,40,10
175,175,7686,PEL.L20.2540,giuseppe,101.11,10425,2020-10-06,2020,41,10
176,176,7283,PEL.L15.1814,giuseppe,20.15,1526,2020-10-02,2020,40,10
177,177,7547,PEL.L15.2601,x.pol.t23,71.88,5548,2020-10-02,2020,40,10
178,178,7547,PEL.L15.2601,x.pol.t23,104.4,8677,2020-10-03,2020,40,10
179,179,7390,PEL.L15.1814,giuseppe,118.36,10579,2020-10-02,2020,40,10
180,180,7390,PEL.L15.1814,vitogiorgio,109.25,10727,2020-10-08,2020,41,10
181,181,7463,PEL.L15.2602,x.pol.t21,136.57,12397,2020-10-02,2020,40,10
182,182,7334,PEL.L15.1814,giuseppe,37.02,2934,2020-10-02,2020,40,10
183,183,7524,PEL.L15.2616,x.pol.t08,103.01,8305,2020-10-03,2020,40,10
184,184,7524,PEL.L15.2616,x.pol.t08,130.9,8065,2020-10-02,2020,40,10
185,185,7626,PEL.F30.CER000,giuseppe,0.991,0,2020-10-02,2020,40,10
186,186,7573C,CRO.S30.CER000,giuseppe,0.365,0,2020-10-02,2020,40,10
187,187,7524,PEL.L15.2616,vitogiorgio,0.53,0,2020-10-03,2020,40,10
188,188,7334,PEL.L15.1814,vitogiorgio,0.647,0,2020-10-03,2020,40,10
189,189,7664S.I.,PEL.F20P.MACA330,vitogiorgio,0.17600000000000002,0,2020-10-03,2020,40,10
190,190,7611,PEL.L15.2616,x.pol.t21,99.05,9612,2020-10-03,2020,40,10
191,191,7612,PEL.L15.2602,x.pol.t21,35.18,3072,2020-10-05,2020,41,10
192,192,7462,PEL.L15.2609,x.pol.t21,52.31,3505,2020-10-03,2020,40,10
193,193,7695S.I.,PEL.F20P.MACA540,vitogiorgio,90.4,6700,2020-10-03,2020,40,10
194,194,7695S.I.,PEL.F20P.MACA540,vitogiorgio,90.45,7211,2020-10-03,2020,40,10
195,195,7695S.I.,PEL.F20P.MACA540,vitogiorgio,89.9,12345,2020-10-03,2020,40,10
196,196,7695S.I.,PEL.F20P.MACA540,vitogiorgio,90.5,6752,2020-10-03,2020,40,10
197,197,7695C,CRO.S20P.MACA540,vitogiorgio,64.0,3084,2020-10-03,2020,40,10
198,198,7695C,CRO.S20P.MACA540,vitogiorgio,54.48,2347,2020-10-03,2020,40,10
199,199,7695C,CRO.S20P.MACA540,vitogiorgio,57.63,2452,2020-10-03,2020,40,10
200,200,7695C,CRO.S20P.MACA540,vitogiorgio,54.55,2069,2020-10-03,2020,40,10
201,201,7418,PEL.F20P.MACA34,vitogiorgio,7.2,1113,2020-10-03,2020,40,10
202,202,7583,PEL.F30.VIM865,giuseppe,48.293,4018,2020-10-05,2020,41,10
203,203,7654S.I.,PEL.F20P.MACA11,vitogiorgio,74.49,4821,2020-10-03,2020,40,10
204,204,7654S.I.,PEL.F20P.MACA11,vitogiorgio,74.5,4322,2020-10-03,2020,40,10
205,205,7654C,CRO.S20P.MACA11,vitogiorgio,43.24,3189,2020-10-03,2020,40,10
206,206,7654C,CRO.S20P.MACA11,vitogiorgio,47.5,1855,2020-10-03,2020,40,10
207,207,7530,PEL.L15.2605,x.pol.t21,31.6,2693,2020-10-05,2020,41,10
208,208,7602S.I.,PEL.F20P.MACA013,nicolagaletta,0.263,55,2020-10-05,2020,41,10
